venue_id,name,venue_category,latitude,longitude,address,checkin_count,last_checkin,osm_url,References,hours_source,Senin_buka,Selasa_buka,Rabu_buka,Kamis_buka,Jumat_buka,Sabtu_buka,Minggu_buka,Senin_tutup,Selasa_tutup,Rabu_tutup,Kamis_tutup,Jumat_tutup,Sabtu_tutup,Minggu_tutup,google_rating,google_rating_count,price_level,description,good_for_children,google_types,primary_type,business_status,wheelchair_accessible,has_parking,accepts_cashless,has_restroom,photo_ref,sublocality,locality,zone_id
google_vihara_000,Hemadhiro Mettavati Temple,Temple,-6.1421449,106.7688157,"Jl. Mawar SCB No.11, RT.11/RW.1, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Indonesia",0.0,,,,google_places,08:00,08:00,08:00,08:00,08:00,08:00,07:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,4.9,822.0,,,,"buddhist_temple,place_of_worship,association_or_organization,point_of_interest,establishment",buddhist_temple,OPERATIONAL,True,,,True,places/ChIJb5SCJCf3aS4RdhPcCvKKEiE/photos/AaVGc3m-vWHB4tAXsLuqlxkYsH7qLx5O42GCFYBMcnxTOGGH39x8QApbdXXzgnewQrllvhP8M2R3pm6D2EX_rk5j3VdCMNbqjRJa6uVMEbgbFqMPKVIs2pfQ6eQ6xC3ghnkjIaRubms7lJHWEhsS09X6f0n0FMzcMW2vUSkxQcNpGxGaXtZejLtC2L13sRvJaVF4U7a900YzBoeVCaHpHwNy_ZaCI4FBSaALvG_m0sigLrZ87ya9MgqcsWmjmo_A0fom0rGtstbDnLnb_bdQ3Op5KLQNI3Hz5vslRtjhEYc8G0S6MhEa4DrwOw2Ww1G8afNOIuAVC-hLzYivUwokUJfqH5owAExC6I2um_HyCcLBOhhgTShw-FE2K4yXcegfZOnYr5SvGufKI6f6WCjFTIPa6ScZc2D-seHoDBfEwCK6FmiDJ-Q,Kapuk,Kota Jakarta Barat,6.0
google_vihara_001,Vihara Bahtera Bakti Ancol,Temple,-6.1200116,106.8537759,"VVH3+XGR, Jl. Pantai Sanur V, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430, Indonesia",0.0,,,,google_places,06:00,06:00,06:00,06:00,06:00,06:00,06:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,4.7,210.0,,,,"buddhist_temple,place_of_worship,association_or_organization,point_of_interest,establishment",buddhist_temple,OPERATIONAL,True,,,True,places/ChIJXVX7cDoeai4RUKiPCQKk40w/photos/AaVGc3n_19IqH_5z5LliOg8P3N33iKSkEUXRLBP2msmnw671FwE6UZAsQ6f8o4hYCfE30l5xYt5xWnoB9tv4acSRNGVPNRf_Qn940IA5vgdas7Vcspt6w2WEWDJNa_epNm31Cna3qNVmRhfA0krDyqd9D4YZyLXliCcXdUkilZd7pBWeHOGL-BPss1x5qjB9MKH2HvHvIc9TBD9CY4OOwlJKkmupou_dVvx7mnllwHbjQF-96Xs9r_siv1LTz-UoDvO6vW_ceO4xww4Bc3kZyNE_SN6t7cDRSzWLBBaOTWXLS7crohgoTcR3p5UMnXYQSsTsXt65S3eFLwO20kETiMCYvkvaNOPMTWPF5vQ3jcHsMkLa3SW_ayyCEeSfYgIyYyR_j-dioFAAB9UUJoHAPkHdHm34nq0xm-4xwmy0WO5_mKsh5A,Ancol,Jakarta Utara,7.0
google_vihara_002,Kelenteng Tian Fu Gong 天福宫 Riverwalk Island PIK,Temple,-6.0885679,106.7345789,"Riverwalk Island, Jl. Simpang Empat Jl. Pantai Indah Kapuk No.14470 Gate 5, Kamal Muara, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470, Indonesia",0.0,,,,google_places,07:30,07:30,07:30,07:30,07:30,06:30,06:30,23:00,23:00,23:00,23:00,23:00,23:00,23:00,4.9,61.0,,,,"buddhist_temple,place_of_worship,association_or_organization,point_of_interest,establishment",buddhist_temple,OPERATIONAL,,,,,places/ChIJmaIIVQAdai4RKCDuiAEVGXA/photos/AaVGc3ln5xzncFczFEq8foZVI-XVBrZrIwuOHIfe0DTcIUmnpqsfmmCpLw2rR6VNudEnoUC2o-8PUGSII-ZPlPV3Re0lIbv9sLzihjZqfHiowyqZDGAZ6Vudb-L4Oc8aNntJmAWKsrEZZsAo7k_uviZz0ep1bMsrEq6fuBXhfB_-Y1e8MhUejIH9T9urOB7Sla45mWO9dHyJdJSWnJgaPPem8Je8QrxGUMc97SJUwB2fhzUnfTyRq4zQSv24pt_Nu_-BfaJ66yQTfS19zRfkumRkUyOvRBBge-BM1J_97ntb7jgx_qP6jYSCZpWCHJbMEqiCOsHpPlmrGPwyBpwbDSp5gM-Sa2vxJXGeiGAggQ13fGwAnIFIf4yvOveuJprLDUMJSagAtU4-iBHaPuu27fQMKsEhp93Ta5eJJY5JisW_Vt7BobKck7OL4INcsZLVGw,Kamal Muara,Jakarta Utara,6.0
google_vihara_003,Vihara Lalitavistara 印尼雅加達靈應寺,Temple,-6.099821599999999,106.9374768,"Jl. Cilincing Lama No.03, RT.5/RW.4, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14120, Indonesia",0.0,,,,google_places,08:00,08:00,08:00,08:00,08:00,08:00,08:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,4.8,109.0,,,,"buddhist_temple,place_of_worship,association_or_organization,point_of_interest,establishment",buddhist_temple,OPERATIONAL,True,,,True,places/ChIJW-oDQUggai4R5O3Lhu0oUwo/photos/AaVGc3khyBty38NMp1mturtM8LPoOlCQEMgc6qtrvB_AA5k8d8pRpYYWfsI1V_XfbqPZijS3srbbEHrwK4bJLkslQOu-V4itjBJUMbIum-32vMLKk3KOPQkPL2Up9k7e75p_c0Wi8CrJubQHnS3Cg0eIROu5gcS3yv7S8AN7Ap7mMPsARwkVbf5jsNchdPcvH0LOylzUe-67E97By0u6TZgAnVgkmyFEXuXfD6dhNiSgxReCOT2F_G6mZPIu349xphvPlp3JYBNT6FEuQcVkAUxipJJy2x0x03XbY-QEGwfg6wOnQxmkIjRROlSIuSJIZMcm4JlvOkedvBPadeXqG1LEyYdv_xD8a046bzxFi83JnJYFelNqxor6tY6VxezugdSgVMiiSkLL19CStN79SPVncAqa5jUV71V7sVkV141t1QHEqaLQ8WKkozvmLG0YBaMT,Cilincing,Jakarta Utara,2.0
google_vihara_004,Vihara Sin Tek Bio,Temple,-6.161895899999999,106.8333257,"belakang Metro Atom, Jl. Ps. Baru No.Dalam, RT.1/RW.3, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",0.0,,,,default_category,06:00,06:00,06:00,06:00,06:00,06:00,06:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,5.0,4.0,,,,"place_of_worship,association_or_organization,point_of_interest,establishment",place_of_worship,OPERATIONAL,,,,,places/ChIJS09EVwD1aS4RwOEG0l9bw60/photos/AaVGc3knmjfWTKcOy_MD1oUxXUvRFGptylF9YXVduQTGPB09BUks3M0IxzyFIpWTBGQjTB755W7Gjl77w0bkvFdzFhnPLAmelgi0x97ooAHlK2vNvX3wn-yQceZvoC4D28NO4VSK2QZRXRCO9mhikFy7-NJ2Qloy6Npb42NUIIiuwLJkmiCG8FrCBXPimD6QnhqU_o6T7GtZPegBpFWZmqQ_39fxhD9diFroOxRpo99ScBAF-KDqIUkJ3vMuZt4Wz_NJLylkppSeuhHWR6zPvW44kHl9JLKNFk2RQ2TOiA-dYucFF1bqZ87GNjtnZ-UipXNsVxfxj90oC6SAtiridJSNROpVjTNDfnzVh0z0XoybpT14ryZkL4bnL2SKzQ14l8oHt4Pn4VcsF56vYMjlnYvJTqxv1bR8oi4LzsaULx8vCXpwVNpuaWZxg8kmsMtIbQ,Pasar Baru,Kota Jakarta Pusat,5.0
google_vihara_005,Tri Ratna Temple,Temple,-6.1578162,106.8337158,"Jl. Lautze Dalam No.64, RT.5/RW.6, Kartini, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750, Indonesia",0.0,,,,google_places,06:00,06:00,06:00,06:00,06:00,06:00,06:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,4.6,165.0,,,,"buddhist_temple,place_of_worship,association_or_organization,point_of_interest,establishment",buddhist_temple,OPERATIONAL,,,,True,places/ChIJTTNUT8L1aS4Rx1aPPIiv8K4/photos/AaVGc3kH2BRkJAhEeFIT9joxf3QTw1hZip8nfnhL_V2vZifMACVKjSK_K0zI2vpH5yEWP34irHI8UI29Zq528EjZ8OVf3VR1dMiXyUrNskXpNIt0FyX6InUyWwq25uqh_jE7DVyIN0eyMaSEhl5HjxnEtoCzQ6jCyD-thJz8Y8B25n9dE0XZvWAgvyRvgqWyZBW9_14RhO2Kjzo2-PzWpu7HkDijqNqQYo593gSVuyiddr-Lr1-cWyFgu3n_ZhiBVOCiTqvuWZhRBCTQIQSMDD9P1ipP4TmWB3MjVNptrAPccqvmdTGwCrnX0VWDXNhF9X7WdPzgDLA8S_P6vDRdk_vH2kroJ5QPIZzTN2tAG47_0T5Lu4XZqMh6JhWc_YjX-8XLDM8dw6M5ADJqSaChu0zmBXKEJASSiwyCk8Ch1ZXjqM4GGg,Kartini,Kota Jakarta Pusat,0.0
google_vihara_006,Amurva Bhumi Vihara,Temple,-6.218965799999999,106.8180473,"4, Jl. Prof. DR. Satrio No.2, RT.3/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930, Indonesia",0.0,,,,google_places,06:00,06:00,06:00,06:00,06:00,06:00,06:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,4.8,281.0,,,,"buddhist_temple,place_of_worship,association_or_organization,point_of_interest,establishment",buddhist_temple,OPERATIONAL,True,,,True,places/ChIJy5oYwP_zaS4RCGcIFXTsB2s/photos/AaVGc3my8jBUYHARX1p_Jbb0KAU--sckoWubeltf2xlDBLY5NfpuR93GotujYI_nw4LrtbqS5CuHByWe04A5C7-wNBnRyfouPUfeSwGP-x3mDVKpCVhGlwRqxLPjQHIAE677NWi9quv7-rWLQ56a0iZSHwhSlG_6S7hmjRYqugf2VlW6XDe0viU6BCd8B_kUVqVeOO0eq3i98tihibTEsQuPM4CDzSOXnkwE9M41IM2XjMZGgaNn96Y1_uzHv0-5PcoIlj5ueo_g8d77NTCINoQnGxfXnDmm-BAPq12gxjph8bCFBVYdMvD-G49JoXGdWL-3k9sux96G5d6BXM9F8YFl5aMxNOKtKiGg0jzKjbnU3Uxh1ENToTs_IQ8MoPUohi4z3lU3NOWz-bHmRGGgvl4EHKktAkf9mHrSgdhq8ghS-TORKSaZ,Karet Semanggi,Kota Jakarta Selatan,4.0
google_vihara_007,Vihara Padi Lapa,Temple,-6.136822899999999,106.806365,"1, Jl. Pejagalan 2 No.57, RT.1/RW.5, Pekojan, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11240, Indonesia",0.0,,,,google_places,07:30,07:30,07:30,07:30,07:30,07:30,07:30,16:00,16:00,16:00,00:00,16:00,16:00,16:00,4.6,110.0,,,,"place_of_worship,association_or_organization,point_of_interest,establishment",place_of_worship,OPERATIONAL,,,,True,places/ChIJ--5fsQL2aS4RrnEQ1IiUGog/photos/AaVGc3kOqufoeyXXRbX88uc7IeeJAS9WO9tF1j8_5TTUqXA7eVYBbAb5JSTsLfQOvybX8xSCQvA70isPKAZFH74-lHq3984WIkgTnwAuEGNwP-4mxCyglFa-Qm4n3b5GWU3hp1IXAO1OU9APNzdqeeCr6apMX3J1JVjvtxFPVD1Rl9dJKbgCSKHKHm3RiWZSo4lItsucOU4qa3LNvxVIo3nlaOcCT83uqQI-IcS5fK_TmA5juIGPYjyhAj4h4Sa77HaKVLThMFzNGpGsetd2MdXywBtApCQ88Sg2oqjjZ3VtVuFTGNiVLLWVnPblDlDzjgGE6hb1t6O8KfvgH_H2lAWME2NKtOdxa5sIac2xLJV3vuPBIZPpXCWIPZm7R1WDcjgoR8O3F44tAdKIIAs7jThvmXpCo2UHcqsaQwxsMVuBRGRXk8yx,Pekojan,Kota Jakarta Barat,0.0
